Cruise,Date,Fixed_Station,Seq_Station,Gear,Species,Fish_Num,SL_mm,FL_mm,RNAlater?,RNA_Later_Vial,Sex,Maturity ,Evisc_Weight (g),Gut_Bagged?,Liver_Bagged?,Musc_Bagged?,Head_Bagged?,Frozen_Whole?,Comments
SKQ201713S,170830,2.2,5,mid_water,B.saida,1,94,100.5,y,5_1,na,na,na,n,n,n,n,y,
SKQ201713S,170830,2.2,5,mid_water,B.saida,2,84,89,y,5_2,na,na,na,n,n,n,n,y,
SKQ201713S,170902,4.5,51,mid_water,B.saida,1,253,278,n,,f,spent,164,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,2,156,177,n,,unknown,na,31,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,3,122,135,n,,unknown,na,16.5,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,4,255,288,n,,f?,?,187,y,y,y,y,n,twisty ovaries
SKQ201713S,170902,4.5,51,mid_water,B.saida,5,147,160,n,,f?,im,20,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,6,122,134,n,,f?,?,14,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,7,147,161,n,,f,im,22,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,8,108,118,n,,f,im,10,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,9,196,220,n,,f,?,54,y,y,y,y,n,early adult
SKQ201713S,170902,4.5,51,mid_water,B.saida,10,126,143,n,,f,?,17,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,11,127,144,n,,f,im,15,n,y,y,y,n,no stomach (barotrauma)
SKQ201713S,170902,4.5,51,mid_water,B.saida,12,153,166,n,,f,?,21.5,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,13,118,132,n,,f,?,15,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,14,168,185,n,,f,?,31.5,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,15,137,158,n,,f,im,22,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,16,136,149,n,,f,im,16,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,17,109,120,n,,f,im,12,n,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,18,128,141,n,,f,im,14.5,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,19,164,179,n,,f?,?,28,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,20,165,180,n,,f,im,29,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,21,139,153,n,,f?,?,22,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,22,257,280,n,,f,spent,197,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,23,163,174,n,,f,im/spent ?,28,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,24,148,167,n,,f,im/spent ?,25,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,25,147,165,n,,f,im/spent ?,22,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,26,136,152,n,,unknown,na,20,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,27,126,143,n,,f,im,13.5,n,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,28,126,141,n,,f?,?,15,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,29,147,164,n,,f,im,22,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,30,118,133,n,,f?,?,13,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,31,146,166,n,,f,im,24,y,n,n,n,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,32,126,141,n,,f,?,15,n,n,n,n,n,twisty nads; no stomach
SKQ201713S,170902,4.5,51,mid_water,B.saida,33,142,159,n,,f,?,22,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,34,122,136,n,,f,?,13,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,35,147,168,n,,f?,?,26,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,36,136,154,n,,f,?,21,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,37,237,274,n,,m?,,174,y,n,n,n,n,twisty nads; made us think that twisty nads are male
SKQ201713S,170902,4.5,51,mid_water,B.saida,38,145,165,n,,?,,26,n,n,n,n,n,twisty nads; no stomach
SKQ201713S,170902,4.5,51,mid_water,B.saida,39,143,164,n,,f,im,23,y,n,n,n,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,40,151,169,n,,?,,28,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,41,164,184,n,,f,im,34,y,n,n,n,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,42,252,282,n,,m,,188,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,43,113,127,n,,,,15,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,44,142,160,n,,,,21,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,45,114,128,n,,,,14,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,46,154,172,n,,f,im,26.5,y,n,n,n,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,47,143,162,n,,,,25,?,n,n,n,n,"twisty nads; data sheet says both ""frozen gut"" and ""no stomach"""
SKQ201713S,170902,4.5,51,mid_water,B.saida,48,121,136,n,,,,14,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,49,141,158,n,,f,im,20,y,n,n,n,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,50,122,136.5,n,,,,13.5,y,n,n,n,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,51,,167,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,52,,164,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,53,,130,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,54,,124,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,55,,122,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,56,,99,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,57,,154,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,58,,138,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,59,,105,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,60,,140,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,61,,141,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,62,,88,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,63,,143,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,64,,132,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,65,,109,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,66,,101,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,67,,97,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,68,,135,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,69,,159,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,70,,150,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,71,,139,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,72,,128,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,73,,96,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,74,,165,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,75,,105,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,76,,166,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,77,,198,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,78,,132,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,79,,146,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,80,,147,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,81,,156,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,82,,142,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,83,,98,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,84,,154,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,85,,124,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,86,,96,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,87,,111,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,88,,128,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,89,,115,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,90,,132,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,91,,156,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,92,,128,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,93,,143,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,94,,154,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,95,,171,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,96,,138,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,97,,131,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,98,,137,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,99,,147,,,,,,,,,,,
SKQ201713S,170902,4.5,51,mid_water,B.saida,100,,102,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,1,134,149,y,64-1,f,im,18,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,2,204,227,y,64-2,f,spent,55,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,3,136,152,y,64-3,f,im,18,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,4,147,167,y,64-4,m,,27,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,5,143,164,y,64-5,f,im,24,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,6,133,150,y,64-6,f,im,21,n,y,y,y,n,no stomach
SKQ201713S,170903,3.4,64,mid_water,B.saida,7,153,171,y,64-7,m,,28,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,8,180,201,y,64-8,m,,46.5,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,9,126,139,y,64-9,f,im,17,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,10,137,155,y,64-10,m,,21,y,y,y,y,n,"R/D sample taken at 19:52, ~7 mins since start; twisty nads"
SKQ201713S,170903,3.4,64,mid_water,B.saida,11,142,161,y,64-11,m,,23,n,y,y,y,n,twisty nads; no stomach
SKQ201713S,170903,3.4,64,mid_water,B.saida,12,152,169,y,64-12,f,im,26,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,13,154,171,y,64-13,m,,29,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,14,155,173,y,64-14,m,,28,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,15,163,182,y,64-15,f,spent,35,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,16,133,152,y,64-16,m,,21,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,17,152,172,y,64-17,f,im,24,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,18,127,140,y,64-18,f,im,15.5,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,19,153,173,y,64-19,f,im,25,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,20,143,161,y,64-20,m,,24,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,21,233,260,y,64-21,f,dev,98,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,22,206,233,y,64-22,f,dev,72,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,23,134,154,y,64-23,f,im,23,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,24,156,177,y,64-24,m,,31,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,25,152,172,y,64-25,f,im,25,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,26,127,143,y,64-26,m,,16,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,27,134,151,y,64-27,m,,20,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,28,127,143,y,64-28,f,im,15,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,29,153,171,y,64-29,m,,28.5,y,y,y,y,n,twisty nads
SKQ201713S,170903,3.4,64,mid_water,B.saida,30,146,163,y,64-30,f,im,27,y,y,y,y,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,31,132,144,n,,f,im,17,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,32,142,158,n,,f,im,23,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,33,113,127,n,,f,im,12,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,34,107,121,n,,m,,12,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,35,158,176,n,,f,im,29,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,36,143,162,n,,m,,23.5,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,37,132,146,n,,f,im,14,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,38,141,156,n,,f,im,23,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,39,122,135,n,,f,im,15,n,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,40,109,123,n,,f,im,11,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,41,122,142,n,,f,im,15,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,42,128,144,n,,m,,16,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,43,142,158,n,,unknown,,22,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,44,159,182,n,,f,im,33,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,45,118,135,n,,m,,15,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,46,142,161,n,,f,im,23,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,47,118,128,n,,f,im,13,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,48,173,195,n,,f,dev,44,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,49,133,151,n,,m,,20,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,50,137,155,n,,m,,21,y,n,n,n,n,
SKQ201713S,170903,3.4,64,mid_water,B.saida,51,,148,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,52,,188,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,53,,140,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,54,,134,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,55,,139,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,56,,133,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,57,,184,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,58,,177.5,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,59,,142,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,60,,140,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,61,,154,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,62,,149,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,63,,132,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,64,,161,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,65,,142,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,66,,127,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,67,,134,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,68,,168,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,69,,118,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,70,,187,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,71,,153,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,72,,143,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,73,,139,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,74,,164,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,75,,121,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,76,,159,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,77,,120,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,78,,133,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,79,,138,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,80,,146,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,81,,139,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,82,,147,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,83,,161,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,84,,171,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,85,,135,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,86,,121,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,87,,174,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,88,,158,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,89,,159,,,,,,,,,,,
SKQ201713S,170903,3.4,64,mid_water,B.saida,90,,137,,,,,,,,,,,
